airline,origin,destination,distance_km,month,day_of_week,dep_hour,weather_score,is_holiday_season,delayed,delay_minutes,passengers_booked,seat_capacity,demand_ratio,price_aed
Singapore Airlines,DXB,BOM,1900,7,Mon,2,5.74,True,0,0,301,350,0.861,2519.79
Emirates,DXB,JNB,6400,1,Sat,20,5.1,True,1,18,350,350,1.0,3643.2
Qatar Airways,DXB,BKK,4900,9,Tue,14,7.18,False,0,0,267,350,0.765,2869.85
Qatar Airways,DXB,CDG,5200,3,Sun,10,6.83,False,0,0,296,350,0.847,3090.13
Emirates,DXB,BKK,4900,10,Tue,17,5.8,False,0,0,171,350,0.489,2310.82
Etihad,DXB,LHR,5500,9,Mon,20,5.86,False,0,0,268,350,0.766,2974.57
Turkish Airlines,DXB,CDG,5200,2,Wed,4,3.02,False,1,105,304,350,0.87,3136.82
Emirates,DXB,FRA,4800,8,Mon,21,5.44,False,0,0,181,350,0.518,2355.33
Turkish Airlines,DXB,LHR,5500,1,Tue,8,2.61,True,0,0,272,350,0.778,2998.96
Singapore Airlines,DXB,LHR,5500,5,Sun,4,5.01,False,0,0,257,350,0.736,2909.84
Turkish Airlines,DXB,NRT,7900,3,Mon,20,5.4,False,1,56,221,350,0.633,3063.6
Emirates,DXB,LHR,5500,8,Tue,7,5.0,False,0,0,209,350,0.599,2622.64
Singapore Airlines,DXB,JFK,11000,12,Mon,21,5.62,True,0,0,350,350,1.0,4554.0
Etihad,DXB,SIN,5900,5,Sat,1,5.3,False,0,0,257,350,0.736,2977.02
Qatar Airways,DXB,SYD,12000,2,Thu,5,6.3,False,0,0,223,350,0.638,3708.2
Qatar Airways,DXB,LHR,5500,5,Fri,3,6.82,False,0,0,249,350,0.713,2861.7
Emirates,DXB,SIN,5900,2,Sat,20,3.28,False,0,0,230,350,0.658,2809.0
Emirates,DXB,BOM,1900,7,Sun,15,3.35,True,0,0,345,350,0.989,2733.05
Singapore Airlines,DXB,SYD,12000,11,Fri,17,4.95,False,1,34,276,350,0.79,4148.62
Emirates,DXB,CDG,5200,5,Sat,0,1.78,False,1,21,277,350,0.792,2975.37
Emirates,DXB,BOM,1900,10,Mon,14,5.95,False,0,0,236,350,0.676,2211.23
Turkish Airlines,DXB,LHR,5500,10,Thu,0,7.27,False,1,49,194,350,0.557,2534.64
Turkish Airlines,DXB,NRT,7900,12,Sun,13,7.47,True,0,0,315,350,0.9,3701.68
Emirates,DXB,FRA,4800,3,Sun,22,10.0,False,0,0,302,350,0.864,3052.93
Etihad,DXB,SYD,12000,3,Sun,22,6.72,False,0,0,253,350,0.724,3957.88
Emirates,DXB,NRT,7900,12,Mon,16,4.48,True,0,0,208,350,0.597,2977.16
Qatar Airways,DXB,JFK,11000,4,Sun,21,9.28,False,0,0,278,350,0.795,3987.29
Emirates,DXB,BOM,1900,5,Sat,19,6.39,False,0,0,335,350,0.959,2684.03
Turkish Airlines,DXB,SIN,5900,9,Mon,20,4.02,False,0,0,207,350,0.592,2666.84
Emirates,DXB,JNB,6400,7,Mon,22,5.26,True,1,15,335,350,0.959,3552.55
Turkish Airlines,DXB,JNB,6400,6,Wed,1,8.06,True,0,0,350,350,1.0,3643.2
Singapore Airlines,DXB,CDG,5200,10,Sat,3,7.42,False,0,0,140,350,0.401,2169.44
Emirates,DXB,NRT,7900,6,Fri,10,4.7,True,0,0,345,350,0.987,3909.68
Etihad,DXB,JNB,6400,10,Fri,22,4.9,False,0,0,265,350,0.758,3107.89
Emirates,DXB,SIN,5900,9,Mon,8,3.91,False,0,0,329,350,0.942,3419.75
Emirates,DXB,LHR,5500,5,Sat,11,6.03,False,1,25,249,350,0.713,2861.58
Etihad,DXB,LHR,5500,8,Sat,7,5.8,False,0,0,284,350,0.814,3073.48
Singapore Airlines,DXB,SIN,5900,5,Wed,13,1.69,False,1,37,242,350,0.693,2885.39
Singapore Airlines,DXB,FRA,4800,8,Sat,18,6.06,False,0,0,348,350,0.995,3316.35
Qatar Airways,DXB,LHR,5500,1,Sun,22,3.88,True,0,0,327,350,0.937,3331.84
Qatar Airways,DXB,CDG,5200,6,Wed,6,6.37,True,0,0,343,350,0.981,3366.06
Singapore Airlines,DXB,LHR,5500,4,Sat,6,8.24,False,0,0,297,350,0.851,3152.49
Emirates,DXB,BKK,4900,6,Tue,9,7.46,True,0,0,295,350,0.845,3032.55
Qatar Airways,DXB,BKK,4900,8,Thu,23,9.76,False,0,0,235,350,0.672,2680.75
Etihad,DXB,JFK,11000,11,Sun,18,7.62,False,0,0,334,350,0.955,4430.39
Emirates,DXB,NRT,7900,8,Sat,5,3.66,False,1,22,157,350,0.451,2629.27
Qatar Airways,DXB,JFK,11000,9,Mon,14,5.97,False,0,0,293,350,0.838,4106.23
Turkish Airlines,DXB,SIN,5900,8,Fri,7,6.81,False,0,0,283,350,0.811,3137.56
Emirates,DXB,SYD,12000,8,Mon,21,4.06,False,0,0,206,350,0.591,3572.79
Singapore Airlines,DXB,LHR,5500,6,Sun,18,2.46,True,0,0,350,350,1.0,3465.0
Emirates,DXB,BKK,4900,9,Fri,8,4.68,False,1,130,215,350,0.616,2568.05
Etihad,DXB,JFK,11000,11,Mon,10,7.71,False,0,0,163,350,0.466,3081.34
Emirates,DXB,LHR,5500,1,Fri,10,3.47,True,1,22,347,350,0.992,3448.2
Etihad,DXB,JNB,6400,1,Sun,0,3.69,True,0,0,257,350,0.737,3061.53
Singapore Airlines,DXB,LHR,5500,8,Wed,17,6.56,False,0,0,185,350,0.53,2477.84
Qatar Airways,DXB,LHR,5500,2,Sat,5,4.47,False,0,0,265,350,0.759,2958.05
Emirates,DXB,SYD,12000,10,Tue,18,5.33,False,0,0,301,350,0.86,4349.58
Emirates,DXB,JFK,11000,7,Fri,7,6.08,True,0,0,278,350,0.795,3986.86
Emirates,DXB,SIN,5900,3,Wed,0,9.57,False,0,0,246,350,0.703,2906.06
Turkish Airlines,DXB,JNB,6400,11,Thu,19,5.38,False,0,0,253,350,0.724,3033.6
Singapore Airlines,DXB,FRA,4800,10,Sun,0,7.49,False,0,0,202,350,0.58,2479.41
Singapore Airlines,DXB,SIN,5900,4,Wed,9,6.31,False,0,0,273,350,0.781,3072.98
Singapore Airlines,DXB,SIN,5900,6,Sat,8,2.37,True,1,79,302,350,0.865,3253.38
Emirates,DXB,NRT,7900,8,Wed,13,3.0,False,0,0,222,350,0.635,3069.6
Qatar Airways,DXB,BOM,1900,8,Tue,12,2.96,False,0,0,207,350,0.594,2074.44
Etihad,DXB,NRT,7900,10,Fri,12,8.65,False,0,0,303,350,0.868,3625.39
Qatar Airways,DXB,NRT,7900,4,Mon,5,6.78,False,0,0,198,350,0.568,2909.76
British Airways,DXB,SIN,5900,10,Sat,20,5.65,False,0,0,217,350,0.621,2729.77
Emirates,DXB,BOM,1900,5,Sun,9,4.76,False,0,0,289,350,0.827,2463.29
Qatar Airways,DXB,JFK,11000,12,Sat,10,4.66,True,1,72,350,350,1.0,4554.0
Qatar Airways,DXB,CDG,5200,2,Sun,14,2.37,False,0,0,250,350,0.715,2817.63
Emirates,DXB,BKK,4900,11,Mon,12,7.56,False,0,0,183,350,0.524,2381.16
Emirates,DXB,JNB,6400,1,Mon,10,3.58,True,0,0,350,350,1.0,3643.2
Emirates,DXB,SYD,12000,6,Tue,11,3.91,True,1,21,287,350,0.82,4234.46
Turkish Airlines,DXB,FRA,4800,1,Sun,11,6.6,True,0,0,330,350,0.944,3214.22
Singapore Airlines,DXB,FRA,4800,5,Sat,15,4.32,False,0,0,282,350,0.806,2935.2
Emirates,DXB,NRT,7900,9,Fri,14,5.16,False,1,51,233,350,0.666,3142.3
Etihad,DXB,FRA,4800,5,Sun,8,4.71,False,0,0,249,350,0.712,2744.82
Singapore Airlines,DXB,BKK,4900,7,Wed,17,8.29,True,0,0,311,350,0.891,3124.76
Etihad,DXB,JFK,11000,3,Fri,10,8.88,False,0,0,217,350,0.623,3512.51
Emirates,DXB,LHR,5500,4,Fri,21,8.55,False,1,58,193,350,0.552,2523.64
Emirates,DXB,FRA,4800,3,Tue,1,8.07,False,0,0,229,350,0.656,2632.17
Turkish Airlines,DXB,BKK,4900,1,Fri,20,8.9,True,0,0,298,350,0.852,3045.97
Etihad,DXB,BOM,1900,7,Thu,4,2.21,True,1,71,284,350,0.814,2442.0
Qatar Airways,DXB,LHR,5500,5,Sat,14,2.1,False,0,0,204,350,0.585,2593.74
Emirates,DXB,NRT,7900,5,Fri,4,4.75,False,1,145,220,350,0.631,3058.86
Etihad,DXB,JFK,11000,9,Sun,19,4.78,False,1,26,227,350,0.651,3590.4
Singapore Airlines,DXB,NRT,7900,11,Tue,8,7.83,False,0,0,201,350,0.575,2925.91
Emirates,DXB,FRA,4800,1,Mon,2,5.95,True,0,0,350,350,1.0,3326.4
Qatar Airways,DXB,JFK,11000,1,Wed,2,3.94,True,0,0,267,350,0.766,3906.96
Qatar Airways,DXB,SIN,5900,2,Wed,8,2.76,False,0,0,197,350,0.564,2607.83
Emirates,DXB,JFK,11000,12,Tue,8,5.76,True,0,0,289,350,0.826,4073.52
Emirates,DXB,CDG,5200,8,Wed,4,5.07,False,1,20,200,350,0.574,2526.92
Singapore Airlines,DXB,LHR,5500,2,Fri,18,4.27,False,0,0,299,350,0.855,3161.13
Qatar Airways,DXB,LHR,5500,6,Wed,15,6.4,True,1,70,315,350,0.901,3256.26
Singapore Airlines,DXB,BOM,1900,5,Tue,3,7.07,False,0,0,254,350,0.728,2298.25
Singapore Airlines,DXB,NRT,7900,9,Wed,22,5.34,False,0,0,221,350,0.632,3060.71
Qatar Airways,DXB,FRA,4800,2,Fri,13,5.98,False,0,0,176,350,0.503,2324.24
Etihad,DXB,JNB,6400,3,Sat,18,7.37,False,1,33,321,350,0.919,3465.0
Qatar Airways,DXB,SIN,5900,6,Thu,19,4.33,True,0,0,305,350,0.873,3272.03
British Airways,DXB,CDG,5200,1,Tue,21,6.79,True,0,0,233,350,0.667,2718.74
Singapore Airlines,DXB,BKK,4900,11,Wed,19,9.35,False,0,0,224,350,0.642,2620.4
Etihad,DXB,JFK,11000,4,Mon,2,5.16,False,0,0,220,350,0.629,3529.13
British Airways,DXB,BKK,4900,2,Sun,13,4.27,False,1,163,240,350,0.687,2712.34
Emirates,DXB,SIN,5900,5,Wed,19,2.71,False,1,38,198,350,0.567,2614.05
Singapore Airlines,DXB,JFK,11000,3,Mon,23,8.43,False,0,0,213,350,0.609,3474.41
Turkish Airlines,DXB,BOM,1900,1,Fri,20,4.76,True,0,0,275,350,0.788,2397.92
Emirates,DXB,SIN,5900,8,Thu,2,4.76,False,0,0,171,350,0.489,2446.67
Qatar Airways,DXB,BKK,4900,4,Mon,5,6.14,False,0,0,207,350,0.594,2523.39
Emirates,DXB,JFK,11000,8,Wed,12,4.82,False,0,0,178,350,0.509,3197.88
Etihad,DXB,CDG,5200,11,Fri,0,8.41,False,0,0,291,350,0.832,3057.86
Emirates,DXB,CDG,5200,6,Thu,19,6.78,True,1,18,269,350,0.771,2932.36
Qatar Airways,DXB,BOM,1900,1,Fri,19,2.92,True,1,25,278,350,0.797,2413.8
British Airways,DXB,JFK,11000,10,Sun,11,7.41,False,0,0,221,350,0.634,3544.32
Emirates,DXB,CDG,5200,9,Sun,8,6.05,False,0,0,272,350,0.777,2945.78
Singapore Airlines,DXB,FRA,4800,11,Thu,15,8.98,False,0,0,235,350,0.674,2668.6
Qatar Airways,DXB,BOM,1900,12,Tue,13,4.02,True,1,26,277,350,0.792,2405.15
Turkish Airlines,DXB,BKK,4900,8,Fri,22,4.16,False,0,0,252,350,0.72,2778.72
Emirates,DXB,SYD,12000,6,Fri,23,5.06,True,0,0,330,350,0.944,4591.88
British Airways,DXB,CDG,5200,1,Sun,11,6.7,True,0,0,313,350,0.897,3193.07
British Airways,DXB,BKK,4900,12,Tue,16,8.89,True,0,0,314,350,0.899,3142.32
Etihad,DXB,BKK,4900,2,Sun,1,5.9,False,1,30,303,350,0.866,3074.5
Etihad,DXB,SYD,12000,2,Fri,14,6.12,False,0,0,225,350,0.644,3726.51
Qatar Airways,DXB,NRT,7900,12,Sat,13,1.09,True,0,0,341,350,0.975,3881.52
Etihad,DXB,CDG,5200,12,Fri,14,7.31,True,0,0,350,350,1.0,3405.6
Emirates,DXB,LHR,5500,11,Mon,1,9.58,False,0,0,292,350,0.835,3117.48
Emirates,DXB,NRT,7900,3,Sat,13,6.11,False,0,0,173,350,0.496,2736.02
Emirates,DXB,SIN,5900,4,Wed,11,5.74,False,0,0,249,350,0.712,2926.61
Emirates,DXB,SIN,5900,5,Thu,4,6.06,False,0,0,268,350,0.766,3042.5
Singapore Airlines,DXB,CDG,5200,12,Wed,19,4.89,True,0,0,295,350,0.846,3086.78
Turkish Airlines,DXB,LHR,5500,7,Wed,5,5.29,True,0,0,259,350,0.743,2924.57
Etihad,DXB,JFK,11000,8,Wed,10,5.1,False,0,0,244,350,0.698,3720.52
Qatar Airways,DXB,FRA,4800,12,Sat,19,3.9,True,0,0,346,350,0.991,3307.55
British Airways,DXB,CDG,5200,5,Sun,21,6.21,False,1,36,204,350,0.584,2546.4
Emirates,DXB,JFK,11000,1,Tue,7,5.56,True,0,0,318,350,0.911,4307.92
Singapore Airlines,DXB,BKK,4900,1,Mon,18,6.26,True,0,0,350,350,1.0,3346.2
Emirates,DXB,CDG,5200,9,Mon,8,4.61,False,0,0,206,350,0.589,2557.46
British Airways,DXB,CDG,5200,4,Sat,18,7.9,False,0,0,284,350,0.814,3021.99
Etihad,DXB,LHR,5500,8,Sat,21,2.99,False,0,0,304,350,0.87,3191.44
Qatar Airways,DXB,SIN,5900,3,Thu,0,6.04,False,0,0,171,350,0.491,2451.36
Emirates,DXB,SYD,12000,8,Sat,13,3.97,False,0,0,350,350,1.0,4752.0
Singapore Airlines,DXB,JFK,11000,6,Thu,20,5.13,True,0,0,247,350,0.708,3748.72
Etihad,DXB,FRA,4800,6,Sat,17,5.27,True,1,40,350,350,1.0,3326.4
Singapore Airlines,DXB,SIN,5900,12,Sun,3,4.72,True,0,0,348,350,0.996,3536.4
Etihad,DXB,SIN,5900,4,Sat,14,10.0,False,0,0,296,350,0.847,3216.56
British Airways,DXB,JFK,11000,1,Fri,3,5.14,True,0,0,350,350,1.0,4554.0
Singapore Airlines,DXB,FRA,4800,7,Sun,23,4.15,True,1,39,347,350,0.993,3313.09
Emirates,DXB,CDG,5200,1,Thu,23,3.5,True,0,0,300,350,0.858,3112.96
Qatar Airways,DXB,SIN,5900,6,Thu,8,5.87,True,0,0,346,350,0.989,3521.18
Etihad,DXB,NRT,7900,8,Mon,4,6.6,False,0,0,189,350,0.54,2842.79
British Airways,DXB,BOM,1900,2,Wed,3,4.63,False,0,0,180,350,0.515,1942.72
Emirates,DXB,JFK,11000,1,Sun,20,6.84,True,0,0,350,350,1.0,4554.0
Emirates,DXB,BOM,1900,9,Tue,2,7.51,False,0,0,266,350,0.761,2353.13
Etihad,DXB,BOM,1900,1,Wed,6,6.56,True,0,0,275,350,0.788,2397.95
Emirates,DXB,FRA,4800,4,Fri,0,4.55,False,0,0,321,350,0.92,3164.54
Emirates,DXB,FRA,4800,4,Fri,16,7.74,False,0,0,296,350,0.846,3015.63
Qatar Airways,DXB,JNB,6400,6,Tue,2,2.01,True,0,0,313,350,0.895,3411.11
British Airways,DXB,FRA,4800,12,Tue,5,7.51,True,0,0,315,350,0.9,3125.37
Emirates,DXB,NRT,7900,4,Fri,12,8.97,False,0,0,284,350,0.813,3494.43
Etihad,DXB,BOM,1900,7,Thu,16,1.5,True,0,0,276,350,0.79,2402.06
Turkish Airlines,DXB,CDG,5200,5,Thu,7,3.87,False,0,0,260,350,0.745,2878.7
Emirates,DXB,CDG,5200,2,Sun,0,5.23,False,0,0,350,350,1.0,3405.6
Emirates,DXB,BKK,4900,1,Sun,17,3.26,True,0,0,260,350,0.745,2829.99
Emirates,DXB,LHR,5500,11,Wed,19,7.29,False,1,22,223,350,0.638,2705.74
Singapore Airlines,DXB,CDG,5200,12,Fri,19,5.12,True,0,0,321,350,0.918,3236.63
Singapore Airlines,DXB,CDG,5200,3,Sun,19,6.18,False,0,0,296,350,0.848,3091.31
Emirates,DXB,SYD,12000,2,Sat,19,6.07,False,0,0,260,350,0.744,4015.95
Etihad,DXB,LHR,5500,4,Sun,13,6.23,False,1,93,294,350,0.842,3132.81
British Airways,DXB,JFK,11000,8,Fri,1,2.63,False,0,0,257,350,0.734,3820.76
Singapore Airlines,DXB,BKK,4900,2,Fri,5,2.52,False,0,0,308,350,0.881,3104.41
Qatar Airways,DXB,JFK,11000,10,Mon,1,9.46,False,0,0,223,350,0.638,3555.11
Emirates,DXB,FRA,4800,3,Mon,2,5.85,False,0,0,203,350,0.583,2485.21
Qatar Airways,DXB,BKK,4900,7,Mon,4,2.7,True,0,0,335,350,0.959,3264.05
Qatar Airways,DXB,FRA,4800,2,Sun,4,4.81,False,0,0,297,350,0.849,3021.43
Etihad,DXB,CDG,5200,7,Fri,21,4.65,True,0,0,281,350,0.804,3001.93
Qatar Airways,DXB,FRA,4800,10,Sun,4,5.51,False,0,0,254,350,0.726,2774.6
Etihad,DXB,BKK,4900,7,Fri,3,4.42,True,0,0,348,350,0.996,3339.02
Singapore Airlines,DXB,BKK,4900,6,Tue,20,5.44,True,1,89,266,350,0.762,2864.18
Emirates,DXB,LHR,5500,10,Tue,7,10.0,False,0,0,202,350,0.577,2577.36
Singapore Airlines,DXB,JNB,6400,1,Sun,16,5.05,True,0,0,293,350,0.84,3289.01
British Airways,DXB,LHR,5500,7,Fri,7,4.45,True,0,0,333,350,0.952,3364.54
Emirates,DXB,SIN,5900,4,Fri,7,4.98,False,0,0,214,350,0.613,2713.8
Singapore Airlines,DXB,FRA,4800,3,Thu,18,8.78,False,0,0,257,350,0.736,2794.73
Emirates,DXB,LHR,5500,8,Mon,8,3.12,False,0,0,206,350,0.59,2603.38
Qatar Airways,DXB,BOM,1900,9,Mon,22,4.03,False,1,56,266,350,0.761,2354.12
Qatar Airways,DXB,JFK,11000,11,Tue,14,7.34,False,0,0,189,350,0.541,3287.17
Etihad,DXB,NRT,7900,9,Tue,21,5.47,False,0,0,220,350,0.63,3056.72
Etihad,DXB,LHR,5500,8,Fri,2,3.18,False,1,28,303,350,0.866,3184.14
Qatar Airways,DXB,SIN,5900,5,Sat,7,5.56,False,0,0,322,350,0.922,3376.43
Emirates,DXB,CDG,5200,6,Wed,21,7.59,True,0,0,310,350,0.886,3170.35
British Airways,DXB,BKK,4900,11,Tue,14,8.86,False,0,0,228,350,0.653,2641.58
Qatar Airways,DXB,LHR,5500,8,Wed,21,7.72,False,0,0,253,350,0.725,2887.13
Qatar Airways,DXB,SIN,5900,8,Tue,15,5.89,False,1,29,259,350,0.742,2990.75
Emirates,DXB,NRT,7900,2,Wed,9,6.14,False,0,0,252,350,0.72,3271.72
British Airways,DXB,BOM,1900,4,Thu,21,7.35,False,0,0,237,350,0.678,2215.72
Emirates,DXB,BOM,1900,2,Fri,19,3.67,False,0,0,237,350,0.678,2214.28
Singapore Airlines,DXB,SIN,5900,10,Thu,14,9.59,False,1,55,210,350,0.602,2689.39
Etihad,DXB,SIN,5900,6,Sun,20,4.38,True,0,0,275,350,0.788,3089.48
Singapore Airlines,DXB,SYD,12000,8,Fri,15,6.1,False,0,0,213,350,0.611,3631.09
Etihad,DXB,JFK,11000,3,Sun,18,5.77,False,0,0,255,350,0.73,3807.68
Emirates,DXB,NRT,7900,6,Fri,3,0.84,True,0,0,350,350,1.0,3940.2
Emirates,DXB,FRA,4800,1,Tue,19,6.16,True,0,0,334,350,0.956,3237.43
Emirates,DXB,CDG,5200,4,Thu,15,7.82,False,1,76,187,350,0.537,2449.53
British Airways,DXB,NRT,7900,5,Mon,19,2.88,False,0,0,178,350,0.509,2767.84
Emirates,DXB,CDG,5200,6,Mon,12,4.38,True,0,0,319,350,0.913,3226.96
Etihad,DXB,BKK,4900,1,Fri,9,5.23,True,0,0,339,350,0.97,3285.03
Emirates,DXB,FRA,4800,2,Wed,0,4.59,False,1,43,185,350,0.53,2379.05
Emirates,DXB,JNB,6400,12,Tue,21,3.68,True,1,27,262,350,0.751,3092.91
Emirates,DXB,CDG,5200,10,Mon,12,5.92,False,0,0,207,350,0.592,2563.23
Emirates,DXB,JFK,11000,10,Wed,20,3.36,False,0,0,264,350,0.756,3880.8
Singapore Airlines,DXB,JFK,11000,8,Wed,19,6.74,False,0,0,211,350,0.605,3463.17
Qatar Airways,DXB,SIN,5900,10,Fri,17,7.67,False,0,0,225,350,0.646,2782.96
Emirates,DXB,SYD,12000,9,Fri,11,3.79,False,0,0,242,350,0.692,3865.44
Emirates,DXB,NRT,7900,9,Sun,21,6.53,False,0,0,350,350,1.0,3940.2
Singapore Airlines,DXB,NRT,7900,11,Mon,6,7.57,False,0,0,303,350,0.867,3623.5
Etihad,DXB,LHR,5500,10,Fri,4,6.33,False,0,0,339,350,0.971,3404.52
British Airways,DXB,CDG,5200,12,Sun,7,4.55,True,1,86,291,350,0.832,3059.27
Etihad,DXB,FRA,4800,5,Thu,3,5.18,False,0,0,295,350,0.845,3013.84
Singapore Airlines,DXB,CDG,5200,4,Thu,13,6.56,False,1,81,161,350,0.462,2296.03
Emirates,DXB,BOM,1900,8,Sat,2,5.13,False,0,0,292,350,0.836,2478.24
Emirates,DXB,BKK,4900,7,Mon,17,4.81,True,0,0,260,350,0.745,2828.53
Emirates,DXB,JNB,6400,8,Thu,8,7.81,False,0,0,272,350,0.78,3156.57
Etihad,DXB,JNB,6400,2,Tue,19,3.16,False,0,0,236,350,0.676,2926.77
